"﻿""証券コード""",CSV略称,正式企業名(和),Qr1略称(和),カナ,正式企業名(英),略称(英),FACTSET業種,旧社名・旧商号,EDINETコード,新証券コード,協会業種,日経業種(小分類),優先市場,配信開始日,売買単位,発行済株式総数,HPアドレス,決算期,配当基準日,決算発表予定日,決算発表履歴,日経業種（中分類）_抽出,上場市場名_抽出,指数採用_抽出
3987,ｴｺﾓｯﾄ,エコモット,エコモット,ｴｺﾓｯﾄ,ECOMOTT INC.,ECOMOTT,パッケージ・ソフトウェア,,E33237,316129000,情報・通信業,他サービス業,東証,(18/ 6/22),100,"5,280,400",http://www.ecomott.co.jp/,8/末,2/末 8/末,1Q連: 2026/01/14,"1Q: 2026/01/14
2Q: 2025/04/14
3Q: 2025/07/11
通期: 2025/10/14",サービス,札証ｱﾝﾋﾞｼｬｽ 東証ｸﾞﾛｰｽ,
3988,SYSHD,ＳＹＳホールディングス,ＳＹＳＨＤ,ｴｽﾜｲｴｽﾎｰﾙﾃﾞｨﾝｸﾞｽ,"SYS HOLDINGS CO., LTD.",SYSHD,その他商業サービス,,E33235,316420000,情報・通信業,他サービス業,東証,(17/ 6/30),100,"10,630,995",http://www.syshd.co.jp/,7/末,1/末 7/末,,"1Q: 2025/12/15
2Q: 2025/03/14
3Q: 2025/06/12
通期: 2025/09/12",サービス,東証ｽﾀﾝﾀﾞｰﾄﾞ,
3989,ｼｪｱﾘﾝｸﾞT,シェアリングテクノロジー,シェアテク,ｼｪｱﾘﾝｸﾞﾃｸﾉﾛｼﾞｰ,SHARINGTECHNOLOGY. INC.,SHARINGT,インターネット・ソフトウェアサービス,,E33242,334719000,情報・通信業,他サービス業,東証,(17/ 8/ 3),100,"24,429,800",http://www.sharing-tech.jp/,9/末,3/末 9/末,1Q連: 2026/02/13 15:00,"1Q: 2025/02/14
2Q: 2025/05/15
3Q: 2025/08/14
通期: 2025/11/14",サービス,東証ｸﾞﾛｰｽ,
3991,ｳｫﾝﾃｯﾄﾞﾘ,ウォンテッドリー,ウォンテッド,ｳｫﾝﾃｯﾄﾞﾘｰ,"WANTEDLY, INC.",WANTEDLY,パッケージ・ソフトウェア,,E33364,315585000,情報・通信業,他サービス業,東証,(17/ 9/14),100,"9,507,400",http://www.wantedly.com/,8/末,2/末 8/末,1Q連: 2026/01/14,"1Q: 2026/01/14
2Q: 2025/04/11
3Q: 2025/07/11
通期: 2025/10/10",サービス,東証ｸﾞﾛｰｽ,
3992,ﾆｰｽﾞｳｪﾙ,ニーズウェル,ニーズウェル,ﾆｰｽﾞｳｪﾙ,NEEDS WELL INC.,NEEDSWEL,情報技術サービス,,E33367,365410000,情報・通信業,他サービス業,東証,(17/ 9/20),100,"40,699,200",http://www.needswell.com/,9/末,3/末 9/末,1Q連: 2026/02/12 15:00,"1Q: 2025/02/12
2Q: 2025/05/12
3Q: 2025/08/06
通期: 2025/11/11",サービス,東証ﾌﾟﾗｲﾑ,
3993,PKSHA,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,パークシャ,ﾊﾟｰｸｼｬﾃｸﾉﾛｼﾞｰ,PKSHA TECHNOLOGY INC.,PKSHA,パッケージ・ソフトウェア,,E33391,378005000,情報・通信業,他サービス業,東証,(17/ 9/22),100,"31,948,000",http://pkshatech.com/ja/,9/末,3/末 9/末,,"1Q: 2025/02/13
2Q: 2025/05/14
3Q: 2025/08/14
通期: 2025/11/13",サービス,東証ﾌﾟﾗｲﾑ,
3994,ﾏﾈﾌｫﾜｰﾄﾞ,マネーフォワード,マネフォ,ﾏﾈｰﾌｫﾜｰﾄﾞ,"MONEY FORWARD, INC.",MFORWARD,パッケージ・ソフトウェア,"ﾅﾚｯｼﾞﾗﾎﾞ
ｱｰﾙ･ｱﾝﾄﾞ･ｴｰ
マネーフォワード",E33390,386996000,情報・通信業,他サービス業,東証,(17/ 9/29),100,"55,524,779",http://corp.moneyforward.com/,11/末,5/末 11/末,本連: 2026/01/14,"1Q: 2025/04/14
2Q: 2025/07/15
3Q: 2025/10/15
通期: 2026/01/14",サービス,東証ﾌﾟﾗｲﾑ,日経500平均
3996,ｻｲﾝﾎﾟｽﾄ,サインポスト,サインポスト,ｻｲﾝﾎﾟｽﾄ,SIGNPOST CORP.,SIGNPOST,医療・看護サービス,,E33519,331217000,情報・通信業,他サービス業,東証,(17/11/21),100,"12,796,595",https://signpost.co.jp/,2/末,8/末 2/末,3Q単: 2026/01/14,"1Q: 2025/07/14
2Q: 2025/10/14
3Q: 2026/01/14
通期: 2025/04/14",サービス,東証ｽﾀﾝﾀﾞｰﾄﾞ,
3997,ﾄﾚｰﾄﾞﾜｸｽ,トレードワークス,Ｔワークス,ﾄﾚｰﾄﾞﾜｰｸｽ,"TRADE WORKS CO., LTD.",TRADEWKS,パッケージ・ソフトウェア,"ﾍﾟｶﾞｻｽ･ｼｽﾃﾑ
トレードワークス",E33553,363722000,情報・通信業,他サービス業,東証,(17/11/29),100,"39,042,000",http://www.tworks.co.jp/,12/末,6/末 12/末,本連: 2026/02/12 15:00,"1Q: 2025/05/12
2Q: 2025/08/08
3Q: 2025/11/07
通期: 2025/02/14",サービス,東証ｽﾀﾝﾀﾞｰﾄﾞ,
3998,すららNT,すららネット,すららネット,ｽﾗﾗﾈｯﾄ,"SURALA NET CO., LTD.",SURALANT,その他商業サービス,,E33626,341045000,情報・通信業,他サービス業,東証,(17/12/18),100,"6,694,764",http://surala.jp/,12/末,6/末 12/末,本連: 2026/02/06 15:00,"1Q: 2025/05/09
2Q: 2025/08/08
3Q: 2025/11/07
通期: 2025/02/07",サービス,東証ｸﾞﾛｰｽ,
4004,ﾚｿﾞﾅｯｸHD,レゾナック・ホールディングス,レゾナック,ﾚｿﾞﾅｯｸﾎｰﾙﾃﾞｨﾝｸﾞｽ,RESONAC HOLDINGS CORP.,RESONAC,特殊化学,"レゾナック・ホールディングス
エス・ディー・エス　バイオテック
昭和炭酸
昭和高分子
平成ポリマー
昭和電工",E00751,336800000,化学,大手化学,東証,データなし,100,"184,901,292",https://www.resonac.com/jp,12/末,6/末 12/末,本連: 2026/02/13 15:30,"1Q: 2025/05/15
2Q: 2025/08/07
3Q: 2025/11/13
通期: 2025/02/13",化学,東証ﾌﾟﾗｲﾑ,日経平均 JPX日経400 日経500平均
4005,住友化,住友化学,住友化,ｽﾐﾄﾓｶｶﾞｸ,"SUMITOMO CHEMICAL CO., LTD.",SMICHEM,特殊化学,"住友化学
住友化学工業
田中化学研究所",E00752,340140000,化学,大手化学,東証,データなし,100,"1,657,914,399",http://www.sumitomo-chem.co.jp,3/末,9/末 3/末,3Q連: 2026/02/03 13:30,"1Q: 2025/08/01
2Q: 2025/11/04
3Q: 2025/02/03
通期: 2025/05/14",化学,東証ﾌﾟﾗｲﾑ,日経平均 日経300 日経500平均
4008,住精化,住友精化,住友精化,ｽﾐﾄﾓｾｲｶ,"SUMITOMO SEIKA CHEMICALS CO., LTD.",SMISEIK,繊維,,E00755,340560000,化学,肥料,東証,データなし,100,"13,991,796",http://www.sumitomoseika.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/09 14:00,"1Q: 2025/08/06
2Q: 2025/11/12
3Q: 2025/02/07
通期: 2025/05/12",化学,東証ﾌﾟﾗｲﾑ,
4011,ﾍｯﾄﾞｳｫｰﾀ,ヘッドウォータース,ヘッドウォ,ﾍｯﾄﾞｳｫｰﾀｰｽ,"HEADWATERS CO., LTD.",HEADWATR,パッケージ・ソフトウェア,,E35941,383505000,情報・通信業,他サービス業,東証,(20/ 9/29),100,"3,840,144",https://www.headwaters.co.jp/,12/末,6/末 12/末,本連: 2026/02/13 12:00,"1Q: 2025/05/15
2Q: 2025/08/14
3Q: 2025/11/14
通期: 2025/02/14",サービス,東証ｸﾞﾛｰｽ,
4012,アクシス,アクシス,アクシス,ｱｸｼｽ,"AXIS CO., LTD.",AXIS,パッケージ・ソフトウェア,,E35959,310821000,情報・通信業,他サービス業,東証,(20/ 9/30),100,"4,376,000",https://www.axis-net.co.jp/,12/末,6/末 12/末,本単: 2026/02/05 12:00,"1Q: 2025/05/08
2Q: 2025/08/07
3Q: 2025/11/06
通期: 2025/02/06",サービス,東証ｽﾀﾝﾀﾞｰﾄﾞ,
4013,勤次郎,勤次郎,勤次郎,ｷﾝｼﾞﾛｳ,"KINJIRO CO., LTD.",KINJIRO,パッケージ・ソフトウェア,,E35967,368063000,情報・通信業,他サービス業,東証,(20/10/13),100,"20,840,000",https://www.kinjiro-e.com/,12/末,6/末 12/末,本連: 2026/02/10 16:00,"1Q: 2025/05/13
2Q: 2025/08/12
3Q: 2025/11/12
通期: 2025/02/12",サービス,東証ｸﾞﾛｰｽ,
4014,ｶﾗﾀﾞﾉｰﾄ,カラダノート,カラダノート,ｶﾗﾀﾞﾉｰﾄ,"KARADANOTE, INC.",KARADANO,その他商業サービス,,E35989,322027000,情報・通信業,他サービス業,東証,(20/10/27),100,"6,697,900",https://corp.karadanote.jp/,7/末,1/末 7/末,,"1Q: 2025/12/15
2Q: 2025/03/17
3Q: 2025/06/13
通期: 2025/09/12",サービス,東証ｸﾞﾛｰｽ,
4015,ﾍﾟｲｸﾗｳﾄﾞ,ペイクラウドホールディングス,ペイクラウド,ﾍﾟｲｸﾗｳﾄﾞﾎｰﾙﾃﾞｨﾝｸﾞｽ,PAYCLOUD HOLDINGS INC.,PAYCLOUD,その他商業サービス,"ｸﾗｳﾄﾞﾎﾟｲﾝﾄ
ペイクラウドホールディングス
バリューデザイン
アララ",E36070,312570000,情報・通信業,他サービス業,東証,(20/11/19),100,"15,907,408",https://www.paycloud.inc/,8/末,2/末 8/末,1Q連: 2026/01/14,"1Q: 2026/01/14
2Q: 2025/04/14
3Q: 2025/07/14
通期: 2025/10/15",サービス,東証ｸﾞﾛｰｽ,
4016,MITHD,ＭＩＴホールディングス,ミット,ﾐｯﾄﾎｰﾙﾃﾞｨﾝｸﾞｽ,"MIT HOLDINGS CO., LTD.",MITHD,情報技術サービス,,E36077,389515000,情報・通信業,他サービス業,東証,(20/11/25),100,"2,126,200",https://mit-hd.co.jp/,11/末,5/末 11/末,本連: 2026/01/14,"1Q: 2025/04/14
2Q: 2025/07/15
3Q: 2025/10/15
通期: 2026/01/14",サービス,東証ｽﾀﾝﾀﾞｰﾄﾞ,
4017,クリーマ,クリーマ,クリーマ,ｸﾘｰﾏ,CREEMA LTD.,CREEMA,インターネット販売,,E36100,326977000,情報・通信業,他サービス業,東証,(20/11/27),100,"6,740,100",https://www.creema.co.jp/,2/末,8/末 2/末,3Q連: 2026/01/14,"1Q: 2025/07/10
2Q: 2025/10/09
3Q: 2026/01/14
通期: 2025/04/10",サービス,東証ｸﾞﾛｰｽ,
4019,スタメン,スタメン,スタメン,ｽﾀﾒﾝ,"STMN, INC.",STMN,インターネット・ソフトウェアサービス,,E36155,339935000,情報・通信業,他サービス業,東証,(20/12/15),100,"8,781,500",https://stmn.co.jp/,12/末,6/末 12/末,本連: 2026/02/13 16:00,"1Q: 2025/05/15
2Q: 2025/08/14
3Q: 2025/11/14
通期: 2025/02/14",サービス,東証ｸﾞﾛｰｽ,
4020,ﾋﾞｰﾄﾚﾝﾄﾞ,ビートレンド,ビートレンド,ﾋﾞｰﾄﾚﾝﾄﾞ,BETREND CORP.,BETREND,パッケージ・ソフトウェア,,E36108,379972000,情報・通信業,他サービス業,東証,(20/12/17),100,"2,200,400",https://www.betrend.com/,12/末,6/末 12/末,本単: 2026/02/13,"1Q: 2025/05/14
2Q: 2025/08/14
3Q: 2025/11/14
通期: 2025/02/14",サービス,東証ｸﾞﾛｰｽ,
4021,日産化,日産化学,日産化,ﾆｯｻﾝｶｶﾞｸ,NISSAN CHEMICAL CORP.,NISSANCH,特殊化学,,E00759,367080000,化学,大手化学,東証,データなし,100,"135,800,000",http://www.nissanchem.co.jp,3/末,9/末 3/末,3Q連: 2026/02/09 15:00,"1Q: 2025/08/08
2Q: 2025/11/10
3Q: 2025/02/07
通期: 2025/05/15",化学,東証ﾌﾟﾗｲﾑ,日経平均 JPX日経400 日経500平均
4022,ラサ工,ラサ工業,ラサ工,ﾗｻｺｳｷﾞｮｳ,"RASA INDUSTRIES, LTD.",RASA IN,特殊化学,,E00760,396740000,化学,その他化学,東証,データなし,100,"7,944,203",http://www.rasa.co.jp,3/末,9/末 3/末,3Q連: 2026/02/12 15:00,"1Q: 2025/08/08
2Q: 2025/11/13
3Q: 2025/02/14
通期: 2025/05/14",化学,東証ﾌﾟﾗｲﾑ,
4023,クレハ,クレハ,クレハ,ｸﾚﾊ,KUREHA CORP.,KUREHA,特殊化学,"呉羽環境
クレハ
呉羽興産
呉羽化学工業",E00761,327160000,化学,その他化学,東証,データなし,100,"49,942,221",http://www.kureha.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/09 15:00,"1Q: 2025/08/08
2Q: 2025/11/11
3Q: 2025/02/10
通期: 2025/05/12",化学,東証ﾌﾟﾗｲﾑ,
4025,多木化,多木化学,多木化,ﾀｷｶｶﾞｸ,"TAKI CHEMICAL CO., LTD.",TAKI CH,総合化学,,E00762,346100000,化学,肥料,東証,(13/ 7/16),100,"9,458,768",http://www.takichem.co.jp/,12/末,12/末,本連: 2026/02/09,"1Q: 2025/05/12
2Q: 2025/08/07
3Q: 2025/11/10
通期: 2025/02/10",化学,東証ﾌﾟﾗｲﾑ,
4026,神島化,神島化学工業,神島化,ｺｳﾉｼﾏｶｶﾞｸｺｳｷﾞｮｳ,"KONOSHIMA CHEMICAL CO., LTD.",KONOSMA,卸売業,,E00763,328900000,ｶﾞﾗｽ土石製品,建材,東証,(13/ 7/16),100,"9,240,000",http://www.konoshima.co.jp/,4/末,10/末 4/末,,"1Q: 2025/09/10
2Q: 2025/12/10
3Q: 2025/03/12
通期: 2025/06/11",その他製造,東証ｽﾀﾝﾀﾞｰﾄﾞ,
4027,テイカ,テイカ,テイカ,ﾃｲｶ,TAYCA CORP.,TAYCA,特殊化学,,E00764,353930000,化学,その他化学,東証,データなし,100,"23,914,414",https://www.tayca.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 16:00,"1Q: 2025/08/08
2Q: 2025/11/12
3Q: 2025/02/07
通期: 2025/05/14",化学,東証ﾌﾟﾗｲﾑ,
4028,石原産,石原産業,石原産,ｲｼﾊﾗｻﾝｷﾞｮｳ,"ISHIHARA SANGYO KAISHA, LTD.",ISIHRAS,特殊化学,"石原不動産
石原産業
富士チタン工業",E00765,313680000,化学,その他化学,東証,データなし,100,"40,383,943",http://www.iskweb.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 13:00,"1Q: 2025/08/08
2Q: 2025/11/06
3Q: 2025/02/12
通期: 2025/05/08",化学,東証ﾌﾟﾗｲﾑ,
402A,ｱｸｾﾙｽﾍﾟ,アクセルスペースホールディングス,アクセルＨＤ,ｱｸｾﾙｽﾍﾟｰｽﾎｰﾙﾃﾞｨﾝｸﾞｽ,AXELSPACE HOLDINGS CORP.,AXELSPAC,通信機器,,E40500,310825000,輸送用機器,他輸送用機器,東証,(25/ 8/13),100,"66,390,000",https://www.axelspacehd.com/ja/,5/末,11/末 5/末,2Q連: 2026/01/14,"1Q: 2025/10/15
2Q: 2026/01/14
3Q: 
通期: 2025/08/13",輸送用機器,東証ｸﾞﾛｰｽ,
4031,片倉ｺｰﾌﾟ,片倉コープアグリ,片倉コープ,ｶﾀｸﾗｺｰﾌﾟｱｸﾞﾘ,KATAKURA & CO-OP AGRI CORP.,KATAKRAC,農薬,"片倉コープアグリ
片倉チッカリン
コープケミカル",E00789,321180000,化学,肥料,東証,データなし,100,"10,161,686",http://www.katakuraco-op.com/,3/末,9/末 3/末,3Q連: 2026/02/16 14:00,"1Q: 2025/08/14
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/15",化学,東証ｽﾀﾝﾀﾞｰﾄﾞ,
4040,南海化学,南海化学,南海化学,ﾅﾝｶｲｶｶﾞｸ,"NANKAI CHEMICAL CO., LTD.",NANKAICH,特殊化学,,E38504,365215000,化学,塩素・ソーダ,東証,(23/ 4/20),100,"2,330,330",https://www.nankai-chem.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/12 15:00,"1Q: 2025/08/12
2Q: 2025/11/12
3Q: 2025/02/13
通期: 2025/05/13",化学,東証ｽﾀﾝﾀﾞｰﾄﾞ,
4041,日曹達,日本曹達,日曹達,ﾆﾎﾝｿｰﾀﾞ,"NIPPON SODA CO., LTD.",NP-SODA,総合化学,"三和倉庫
日本曹達",E00766,372620000,化学,塩素・ソーダ,東証,データなし,100,"56,787,734",http://www.nippon-soda.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/10 15:00,"1Q: 2025/08/08
2Q: 2025/11/13
3Q: 2025/02/13
通期: 2025/05/14",化学,東証ﾌﾟﾗｲﾑ,
4042,東ソー,東ソー,東ソー,ﾄｳｿｰ,TOSOH CORP.,TOSOH,特殊化学,,E00767,359520000,化学,塩素・ソーダ,東証,データなし,100,"325,080,956",http://www.tosoh.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/05 13:00,"1Q: 2025/08/05
2Q: 2025/11/04
3Q: 2025/02/06
通期: 2025/05/13",化学,東証ﾌﾟﾗｲﾑ,日経平均 JPX日経400 日経500平均
4043,トクヤマ,トクヤマ,トクヤマ,ﾄｸﾔﾏ,TOKUYAMA CORP.,TOKUYAMA,特殊化学,"エイアンドティー
トクヤマ
徳山曹達",E00768,362500000,化学,塩素・ソーダ,東証,データなし,100,"72,088,327",http://www.tokuyama.co.jp/,3/末,9/末 3/末,3Q連: 2026/01/30 9:00,"1Q: 2025/07/29
2Q: 2025/10/29
3Q: 2025/01/31
通期: 2025/04/28",化学,東証ﾌﾟﾗｲﾑ,日経平均 日経500平均
4044,セ硝子,セントラル硝子,セ硝子,ｾﾝﾄﾗﾙｶﾞﾗｽ,"CENTRAL GLASS CO., LTD.",CTL.GLS,特殊加工,,E00769,342500000,化学,塩素・ソーダ,東証,データなし,100,"26,000,000",http://www.cgco.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/10 13:00,"1Q: 2025/08/08
2Q: 2025/11/12
3Q: 2025/02/10
通期: 2025/05/14",化学,東証ﾌﾟﾗｲﾑ,
4045,東亜合成,東亞合成,東合成,ﾄｳｱｺﾞｳｾｲ,"TOAGOSEI CO., LTD.",TOAGOSE,特殊化学,"東亞合成
鶴見曹達
アロン化成
東亞合成化学工業",E00770,355640000,化学,塩素・ソーダ,東証,データなし,100,"108,000,000",http://www.toagosei.co.jp/,12/末,6/末 12/末,本連: 2026/02/12 14:00,"1Q: 2025/04/28
2Q: 2025/07/31
3Q: 2025/10/31
通期: 2025/02/13",化学,東証ﾌﾟﾗｲﾑ,
4046,大阪ｿｰﾀﾞ,大阪ソーダ,大阪ソーダ,ｵｵｻｶｿｰﾀﾞ,"OSAKA SODA CO., LTD.",OSAKSODA,特殊化学,,E00771,348590000,化学,塩素・ソーダ,東証,データなし,100,"133,660,085",http://www.osaka-soda.co.jp/ja/,3/末,9/末 3/末,,"1Q: 2025/08/08
2Q: 2025/11/07
3Q: 2025/02/10
通期: 2025/05/09",化学,東証ﾌﾟﾗｲﾑ,
4047,関電化,関東電化工業,関電化,ｶﾝﾄｳﾃﾞﾝｶｺｳｷﾞｮｳ,"KANTO DENKA KOGYO CO., LTD.",KANT-DE,特殊化学,,E00772,323260000,化学,塩素・ソーダ,東証,データなし,100,"57,546,050",http://www.kantodenka.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 15:00,"1Q: 2025/08/08
2Q: 2025/11/10
3Q: 2025/02/14
通期: 2025/05/15",化学,東証ﾌﾟﾗｲﾑ,
4051,GMO-FG,ＧＭＯフィナンシャルゲート,ＧＭＯ－ＦＧ,ｼﾞｰｴﾑｵｰﾌｨﾅﾝｼｬﾙｹﾞｰﾄ,"GMO FINANCIAL GATE, INC.",GMO-FG,その他商業サービス,,E35642,338671000,情報・通信業,他サービス業,東証,(20/ 7/15),100,"8,339,480",https://gmo-fg.com/,9/末,12/末 3/末 6/末 9/末,1Q連: 2026/02/12 15:00,"1Q: 2025/02/12
2Q: 2025/05/14
3Q: 2025/08/08
通期: 2025/11/13",サービス,東証ﾌﾟﾗｲﾑ,
4052,ﾌｨｰﾁｬ,フィーチャ,フィーチャ,ﾌｨｰﾁｬ,FICHA INC.,FICHA,パッケージ・ソフトウェア,,E35758,380308000,情報・通信業,他サービス業,東証,(20/ 6/24),100,"5,856,107",https://ficha.jp/,6/末,12/末 6/末,2Q連: 2026/02/13 15:00,"1Q: 2025/11/14
2Q: 2025/02/14
3Q: 2025/05/14
通期: 2025/08/14",サービス,東証ｸﾞﾛｰｽ,
4053,ｻﾝｱｽﾀﾘｽｸ,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,サンアスタ,ｻﾝｱｽﾀﾘｽｸ,SUN ASTERISK INC.,SUN AST,パッケージ・ソフトウェア,,E35827,332380000,情報・通信業,他サービス業,東証,(20/ 7/31),100,"39,115,080",https://sun-asterisk.com/,12/末,6/末 12/末,本連: 2026/02/13 15:00,"1Q: 2025/05/14
2Q: 2025/08/13
3Q: 2025/11/14
通期: 2025/02/12",サービス,東証ﾌﾟﾗｲﾑ,
4054,日本情報,日本情報クリエイト,日本情報Ｃ,ﾆﾎﾝｼﾞｮｳﾎｳｸﾘｴｲﾄ,"JAPAN PROPTECH CO., LTD.",JPNPROP,情報技術サービス,"ﾘｱﾙﾈｯﾄﾌﾟﾛ
日本情報クリエイト",E35821,371870000,情報・通信業,他サービス業,東証,(20/ 7/31),100,"14,374,440",https://www.n-create.co.jp/,6/末,12/末 6/末,2Q単: 2026/02/12 15:00,"1Q: 2025/11/13
2Q: 2025/02/13
3Q: 2025/05/15
通期: 2025/08/12",サービス,東証ｸﾞﾛｰｽ,
4055,ﾃｨｱﾝﾄﾞｴｽ,ティアンドエスグループ,Ｔ＆Ｓ・Ｇ,ﾃｨｱﾝﾄﾞｴｽｸﾞﾙｰﾌﾟ,T&S GROUP INC.,T&S G,パッケージ・ソフトウェア,,E35824,353921000,情報・通信業,他サービス業,東証,(20/ 8/ 7),100,"7,633,200",https://www.tecsvc.co.jp/,9/末,3/末 9/末,1Q連: 2026/02/12 15:00,"1Q: 2025/02/14
2Q: 2025/05/14
3Q: 2025/08/14
通期: 2025/11/12",サービス,東証ｸﾞﾛｰｽ,
4056,ﾆｭｰﾗﾙ,ニューラルグループ,ニューラルＧ,ﾆｭｰﾗﾙｸﾞﾙｰﾌﾟ,NEURAL GROUP INC.,NEURAL,パッケージ・ソフトウェア,,E35841,375637000,情報・通信業,他サービス業,東証,(20/ 8/20),100,"17,191,031",https://www.neural-group.com/,12/末,6/末 12/末,本連: 2026/02/13 15:00,"1Q: 2025/05/12
2Q: 2025/08/08
3Q: 2025/11/10
通期: 2025/02/14",サービス,東証ｸﾞﾛｰｽ,
4057,ｲﾝﾀﾌｧｸﾄﾘ,インターファクトリー,インタファク,ｲﾝﾀｰﾌｧｸﾄﾘｰ,"INTERFACTORY, INC.",INTERFAC,パッケージ・ソフトウェア,,E35765,315271000,情報・通信業,他サービス業,東証,(20/ 8/25),100,"4,125,700",https://www.interfactory.co.jp/,5/末,11/末 5/末,2Q単: 2026/01/14,"1Q: 2025/10/10
2Q: 2026/01/14
3Q: 2025/04/11
通期: 2025/07/14",サービス,東証ｸﾞﾛｰｽ,
4058,トヨクモ,トヨクモ,トヨクモ,ﾄﾖｸﾓ,"TOYOKUMO, INC.",TOYOKUMO,パッケージ・ソフトウェア,,E35911,363265000,情報・通信業,他サービス業,東証,(20/ 9/24),100,"11,008,000",https://toyokumo.co.jp/,12/末,6/末 12/末,本連: 2026/02/13 11:00,"1Q: 2025/05/14
2Q: 2025/08/13
3Q: 2025/11/13
通期: 2025/02/13",サービス,東証ｸﾞﾛｰｽ,
4059,まぐまぐ,まぐまぐ,まぐまぐ,ﾏｸﾞﾏｸﾞ,"MAGMAG, INC.",MAGMAG,インターネット・ソフトウェアサービス,,E35945,386306000,情報・通信業,他サービス業,東証,(20/ 9/24),100,"2,916,500",https://www.mag2.co.jp/,9/末,3/末 9/末,1Q単: 2026/02/13 16:00,"1Q: 2025/02/14
2Q: 2025/05/14
3Q: 2025/08/14
通期: 2025/11/13",サービス,東証ｽﾀﾝﾀﾞｰﾄﾞ,
4060,rakumo,ｒａｋｕｍｏ,ｒａｋｕｍｏ,ﾗｸﾓ,RAKUMO INC.,RAKUMO,パッケージ・ソフトウェア,,E35930,396727000,情報・通信業,他サービス業,東証,(20/ 9/28),100,"5,826,000",https://corporate.rakumo.com/,12/末,6/末 12/末,本連: 2026/02/12 15:00,"1Q: 2025/05/09
2Q: 2025/08/08
3Q: 2025/11/14
通期: 2025/02/14",サービス,東証ｸﾞﾛｰｽ,
4061,デンカ,デンカ,デンカ,ﾃﾞﾝｶ,"DENKA CO., LTD.",DENKA,特殊化学,"デンカ
デンカ生研
東洋化学
電気化学工業",E00774,354960000,化学,合成樹脂,東証,データなし,100,"88,555,840",http://www.denka.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 11:00,"1Q: 2025/08/07
2Q: 2025/11/10
3Q: 2025/02/07
通期: 2025/05/13",化学,東証ﾌﾟﾗｲﾑ,日経平均 日経300 日経500平均
4062,ｲﾋﾞﾃﾞﾝ,イビデン,イビデン,ｲﾋﾞﾃﾞﾝ,"IBIDEN CO., LTD.",IBIDEN,電気部品,"ｲﾋﾞﾃﾞﾝｴﾝｼﾞﾆｱ
イビケン
イビデングリーンテック
イビデン
イビデン工業",E00775,314880000,電気機器,電子部品,東証,データなし,100,"281,721,114",http://www.ibiden.co.jp,3/末,9/末 3/末,3Q連: 2026/02/03,"1Q: 2025/08/01
2Q: 2025/10/30
3Q: 2025/02/04
通期: 2025/05/08",電気機器,東証ﾌﾟﾗｲﾑ 名証ﾌﾟﾚﾐｱ,日経平均 JPX日経400 日経500平均
4063,信越化,信越化学工業,信越化,ｼﾝｴﾂｶｶﾞｸｺｳｷﾞｮｳ,"SHIN-ETSU CHEMICAL CO., LTD.",SINETUC,特殊化学,,E00776,337120000,化学,合成樹脂,東証,データなし,100,"1,984,995,865",http://www.shinetsu.co.jp/,3/末,9/末 3/末,3Q連: 2026/01/27 15:00,"1Q: 2025/07/24
2Q: 2025/10/24
3Q: 2025/01/29
通期: 2025/04/25",化学,東証ﾌﾟﾗｲﾑ 名証ﾌﾟﾚﾐｱ,日経平均 JPX日経400 日経300 日経500平均
4064,ｶｰﾊﾞｲﾄﾞ,日本カーバイド工業,カーバイド,ﾆｯﾎﾟﾝｶｰﾊﾞｲﾄﾞｺｳｷﾞｮｳ,"NIPPON CARBIDE IND. CO., INC.",NP-CBID,電気製品設備,,E00777,369000000,化学,合成樹脂,東証,データなし,100,"9,419,659",http://www.carbide.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 16:00,"1Q: 2025/08/07
2Q: 2025/11/10
3Q: 2025/02/07
通期: 2025/05/13",化学,東証ﾌﾟﾗｲﾑ,
4068,ﾍﾞｲｼｽ,ベイシス,ベイシス,ﾍﾞｲｼｽ,BASIS CORP.,BASIS,建設・土木,,E36659,383527000,情報・通信業,他サービス業,東証,(21/ 6/24),100,"1,889,679",https://www.basis-corp.jp/,6/末,12/末 6/末,2Q連: 2026/02/12 17:00,"1Q: 2025/11/11
2Q: 2025/02/13
3Q: 2025/05/15
通期: 2025/08/13",サービス,東証ｸﾞﾛｰｽ,
